1985	6468	1
2310	4463	1
1191	3448	1
3502	15103	0
1213	6137	1
260	13171	1
5687	5268	1
2023	15103	0
1008	5020	1
2105	3331	0
18826	3818	0
175	13617	1
1883	4180	0
11	5695	0
1874	4490	0
6981	5333	0
1101	3259	0
1177	14391	1
1779	5333	1
27089	43563	0
541	3809	1
1983	4964	1
1663	14391	1
398	15103	0
1938	14330	1
52	4563	0
214	6468	0
8098	14193	0
393	4361	0
465	5426	0
1718	9998	0
1110	5458	1
355	14905	0
1952	8077	1
575	3818	1
55694	6137	1
160	19345	0
59037	4563	1
501	5028	0
8365	2571	1
1575	5926	0
2367	11662	1
1888	13047	0
2017	11304	1
55694	8423	1
1126	13617	0
2129	6756	1
408	15103	0
155	13648	1
1687	14436	1
517	8110	0
2017	5704	1
3503	8972	1
1361	18966	1
55983	5805	0
692	4226	1
2164	3841	1
436	5695	0
155	8451	0
2279	2923	1
593	5459	0
5596	10986	0
1487	5682	1
2049	19953	0
55	4893	1
1159	13846	1
12939	3396	0
179	38524	0
2242	18707	0
948	14732	1
298	4006	1
1514	6373	1
55983	4006	0
1949	11052	1
1616	6446	1
699	19679	1
205	19839	1
1400	3955	1
377	8347	1
10694	8052	0
2348	2919	0
282	13984	0
1928	3089	0
1325	5612	1
50080	5496	0
757	7859	0
1344	5280	0
2180	6756	1
1989	10182	1
253	43256	1
35625	4817	1
55119	4261	1
821	15196	1
1245	6701	1
2220	4813	0
1650	4006	0
1703	6277	0
2349	4575	1
2184	5058	1
1023	2722	0
1740	19715	1
3308	5074	1
1758	5374	1
2287	4563	1
2159	19953	1
975	3180	0
4306	6756	0
251	14732	0
1903	6340	1
38412	20827	0
70116	15196	1
452	4792	0
2035	5612	1
1844	8452	1
1518	19839	0
911	4479	1
24109	5789	0
1751	7813	0
709	15009	0
1402	19149	1
104	3789	0
2239	4459	0
55983	13143	0
745	10576	1
68155	13786	1
401	7201	0
1450	3791	1
1387	9842	0
104	14013	0
582	9502	1
532	7813	1
55	4043	1
597	5682	1
2329	13655	1
1661	4926	1
1959	14061	0
1201	4980	1
101	3541	0
1608	4817	0
233	13052	1
2048	10721	0
3449	5943	0
691	14272	0
1712	8451	0
316	4661	0
1829	4537	1
38439	7497	0
4528	5542	1
4303	5129	0
598	15103	0
164	5028	0
163	5221	0
284	2548	0
1597	2862	1
570	14507	1
1626	5897	1
255	13617	0
7356	11033	1
1994	4434	0
130	7767	1
1663	9683	1
1462	9877	0
1215	11033	0
1572	8436	1
1182	11033	1
2285	5374	1
1650	6090	1
1710	6728	1
1379	5296	0
9252	6611	0
1114	3331	0
541	5858	1
2146	9107	1
644	4949	0
2276	3470	1
2076	5805	1
3238	4673	0
1327	5486	0
1288	5943	0
582	11033	1
1650	3499	1
362	37699	0
8604	3039	0
1036	31051	0
38000	5728	0
1905	3917	1
727	12697	1
837	7571	0
55187	11033	1
660	3418	1
1111	20743	1
2232	8648	0
1645	5694	1
491	20164	0
664	21017	1
876	19712	1
187	5546	1
1070	4384	0
1397	13032	1
67594	11033	1
1406	5052	0
475	20123	1
1159	5301	1
1831	14396	0
659	5842	0
911	12164	1
1844	5437	1
1792	5328	0
317	6728	1
1324	13737	0
759	5682	1
896	14108	1
1899	3821	1
1801	11582	0
257	14517	1
268	13730	1
73	4547	0
1475	6456	1
2168	9683	1
128	3989	0
35625	5123	0
799	5694	1
2067	4757	0
954	13856	0
2135	3752	0
536	15103	0
23673	20777	1
2145	2823	0
959	3437	1
1307	3082	1
2057	8991	0
2221	3462	1
32697	78811	0
12	8077	1
2305	14108	0
1748	3176	1
498	2875	1
2116	14674	0
265	3049	0
828	20275	1
405	13922	1
34709	4172	0
7918	14061	0
9	3457	0
205	15096	1
140	6503	0
1128	14732	1
2076	5765	1
64869	5943	0
1767	3891	0
1	5364	0
1549	3256	0
2291	5584	1
38	6634	0
1758	6137	1
28549	20827	1
2258	7201	0
69	12352	0
246	6212	1
2101	15420	0
1762	15728	1
180	18656	0
2052	14859	0
1791	13926	0
342	8451	1
225	6728	1
29	13927	0
508	9047	0
603	5425	1
1436	5692	0
1660	5554	1
1316	9375	1
35387	11033	0
1323	11033	1
1000	4320	1
603	13202	1
1604	15111	0
1660	3471	1
1209	6201	1
98	6366	0
2275	8077	0
726	3716	0
443	3350	0
2198	2571	0
1421	3809	1
1519	5854	0
2255	13655	1
1267	3694	0
984	4076	0
2033	5333	0
1145	5682	0
2076	4807	1
1663	13788	1
1045	2598	1
