1985	6468	1
2310	4463	1
1191	3448	1
1213	6137	1
1316	3592	0
18941	10196	0
1985	3714	0
3330	2418	0
5215	5943	0
175	13617	1
240	4483	0
61409	9464	0
2119	3303	0
601	33504	0
2129	4888	1
2076	14265	0
1779	5333	1
1891	4441	0
143	5800	0
1325	11196	0
173	4472	0
1663	14391	1
1938	14330	1
1514	21113	0
923	15134	0
792	5618	0
1952	8077	1
575	3818	1
59037	4563	1
1508	13913	0
2367	11662	1
113	7799	0
971	7942	0
2017	11304	1
1949	4370	0
2129	6756	1
1209	7813	0
38616	2805	0
9220	11926	0
155	13648	1
1687	14436	1
1349	20861	0
1212	6716	0
2017	5704	1
3503	8972	1
1361	18966	1
483	3838	0
692	4226	1
2164	3841	1
155	8451	0
2279	2923	1
257	3043	1
21	4806	0
1751	13707	0
2113	12833	0
1041	8889	1
1759	3435	1
1159	13846	1
55	4893	1
2198	6744	1
298	4006	1
1514	6373	1
1949	11052	1
699	19679	1
1628	10977	0
2059	8769	0
2229	5810	0
1710	2805	0
377	8347	1
806	6495	0
518	44059	1
1325	5612	1
1660	4584	0
2076	6179	0
2058	10739	1
1989	10182	1
199	15272	0
2180	6756	1
55119	4261	1
35625	4817	1
821	15196	1
1267	20730	0
2184	5058	1
1740	19715	1
3308	5074	1
1661	8665	0
2069	5296	0
1742	43614	0
10714	8986	0
1663	4369	0
1903	6340	1
2035	5612	1
957	14190	0
1844	8452	1
1663	29658	0
911	4479	1
2096	13205	0
1985	7369	0
1325	2947	0
1135	8411	0
1976	8905	1
2076	32628	0
1924	7497	0
1109	6461	0
1402	19149	1
360	3020	0
309	17131	0
1572	7684	1
1985	5060	0
475	6252	1
1043	5748	1
1450	3791	1
1201	3462	0
628	3734	0
971	14544	1
2288	3750	0
532	7813	1
1212	4140	1
55	4043	1
597	5682	1
2329	13655	1
1661	4926	1
615	4293	0
1201	4980	1
1661	13912	1
1748	19299	0
791	19853	0
233	13052	1
2187	13950	1
518	6746	0
2231	20697	0
518	13222	0
2058	5825	0
389	4627	0
507	6769	0
1829	4537	1
1397	13223	0
1413	4612	1
452	6456	0
75	3028	0
4528	5542	1
4032	4687	1
1572	6563	0
2175	20258	0
1380	4360	0
2229	6277	0
1283	3538	0
1454	3379	0
268	5481	0
570	14507	1
1544	4046	0
941	13734	0
1626	5897	1
7356	11033	1
130	7767	1
2076	12785	0
1663	9683	1
603	6413	0
1572	8436	1
2285	5374	1
1182	11033	1
1697	5850	0
1650	6090	1
1710	6728	1
2109	9798	0
1213	5737	0
2276	3470	1
2076	5805	1
1305	14079	0
1494	5871	0
1650	3499	1
1905	3917	1
2164	13156	0
727	12697	1
718	19500	0
660	3418	1
176	2731	0
1111	20743	1
1645	5694	1
664	21017	1
752	2885	0
876	19712	1
187	5546	1
1390	10850	0
1397	13032	1
475	20123	1
67594	11033	1
1159	5301	1
911	12164	1
1844	5437	1
603	78813	0
317	6728	1
1573	33279	0
589	5990	0
759	5682	1
21	3487	1
896	14108	1
1828	7308	0
1899	3821	1
1661	11280	1
257	14517	1
268	13730	1
1390	14368	0
1475	6456	1
799	5694	1
1154	3977	0
416	12999	0
483	4636	1
21	7571	0
1329	3855	0
720	10103	0
1751	13892	0
1307	3082	1
928	3987	1
12	8077	1
2229	3256	0
1748	3176	1
250	4539	0
498	2875	1
1661	7887	0
828	20275	1
805	15661	0
1307	7837	0
1661	3600	0
1128	14732	1
779	9257	0
8903	19508	0
2076	5765	1
2162	13308	0
2291	5584	1
529	13912	0
28549	20827	1
2154	4406	0
246	6212	1
1762	15728	1
1196	5211	0
127	14085	1
225	6728	1
603	5425	1
1660	5554	1
1316	9375	1
1191	13621	0
2341	29658	0
3313	7437	0
982	5055	0
1349	4687	1
603	22490	0
1000	4320	1
1323	11033	1
2367	7687	1
603	13202	1
2229	6690	0
1663	13662	1
1660	3471	1
1209	6201	1
224	4869	1
2035	3809	0
335	3768	0
1454	5892	0
234	4636	1
1421	3809	1
1989	4178	0
2255	13655	1
1527	14396	0
628	5994	1
903	41562	0
603	6578	0
1938	3350	0
2076	4807	1
1697	5854	0
1663	13788	1
2164	5739	1
2136	3818	1
870	13971	1
2110	16822	0
2303	14731	0
233	13749	0
971	9651	0
12939	11033	1
1557	43563	1
26068	5712	1
1291	6226	0
59027	11033	1
151	7862	1
971	16682	0
1182	4244	0
1578	2695	1
137	11033	1
1000	9334	0
1023	3850	1
604	5556	0
1397	5087	0
2117	4636	0
2114	6664	0
